DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-11-29,EQ,607.1,611.8,607.1,608.6,608.1,608.55,609.32,622.7,425.0,6942919,4230494096.3,121735,SBIN
2022-11-30,EQ,608.5,611.4,598.4,608.55,602.95,602.45,603.09,622.7,425.0,15606230,9412010412.2,174362,SBIN
2022-12-01,EQ,607.85,609.8,601.55,602.45,608.0,608.1,605.68,622.7,425.0,14209313,8606271146.8,172004,SBIN
2022-12-02,EQ,607.5,609.6,604.25,608.1,607.6,607.55,607.29,622.7,425.0,7533838,4575252955.95,142901,SBIN
2022-12-05,EQ,608.5,618.0,607.55,607.55,616.7,617.3,614.05,622.7,425.0,11585602,7114164816.2,210728,SBIN
2022-12-06,EQ,614.75,619.8,607.8,617.3,609.3,608.95,613.29,622.7,425.0,12996244,7970503352.0,190699,SBIN
2022-12-07,EQ,610.85,612.9,604.5,608.95,606.95,607.05,607.96,622.7,425.0,7613892,4628904222.25,113416,SBIN
2022-12-08,EQ,609.75,613.8,607.15,607.05,612.25,611.65,611.14,622.7,425.0,10020015,6123608626.5,146277,SBIN
2022-12-09,EQ,614.4,618.0,609.1,611.65,617.0,616.5,613.84,622.7,425.0,11202267,6876434227.3,169991,SBIN
2022-12-12,EQ,614.8,618.7,611.0,616.5,612.35,613.05,613.74,622.7,425.0,9285187,5698647281.15,135955,SBIN
2022-12-13,EQ,613.5,617.4,612.5,613.05,616.8,616.75,615.45,622.7,425.0,7455415,4588404579.4,162670,SBIN
2022-12-14,EQ,618.5,626.75,617.5,616.75,625.3,625.5,623.52,626.75,425.0,14010673,8735884073.65,187174,SBIN
2022-12-15,EQ,625.55,629.55,614.3,625.5,614.7,615.95,621.92,629.55,425.0,10622271,6606176441.8,148853,SBIN
2022-12-16,EQ,612.0,615.6,602.1,615.95,604.35,603.35,607.83,629.55,425.0,9435071,5734914585.6,160875,SBIN
2022-12-19,EQ,604.0,609.5,603.0,603.35,605.5,604.45,605.78,629.55,425.0,8322012,5041268364.25,149442,SBIN
2022-12-20,EQ,603.0,606.5,599.55,604.45,605.3,604.45,602.65,629.55,425.0,6753785,4070154751.5,128701,SBIN
2022-12-21,EQ,605.9,609.15,589.6,604.45,594.3,593.4,599.66,629.55,425.0,9217253,5527195688.5,145768,SBIN
2022-12-22,EQ,597.0,599.0,587.55,593.4,592.0,593.4,592.49,629.55,425.0,8740149,5178437456.55,136417,SBIN
2022-12-23,EQ,590.0,590.7,571.5,593.4,573.1,574.0,579.55,629.55,425.0,13047046,7561431125.75,226901,SBIN
2022-12-26,EQ,574.0,601.7,570.7,574.0,597.1,597.1,589.64,629.55,425.0,13201587,7784134332.2,210003,SBIN
2022-12-27,EQ,600.4,603.1,593.3,597.1,602.0,601.9,598.21,629.55,425.0,9638618,5765912745.95,206219,SBIN
2022-12-28,EQ,600.9,607.0,598.55,601.9,601.0,601.05,602.94,629.55,425.0,7988631,4816651444.45,143945,SBIN
2022-12-29,EQ,600.0,618.0,597.15,601.05,614.05,611.8,608.16,629.55,425.0,20130392,12242524564.7,168187,SBIN
2022-12-30,EQ,615.25,620.55,611.35,611.8,614.25,613.7,615.43,629.55,425.0,13052895,8033100347.05,158347,SBIN
